"ISSN"
"01215469"
"16579534, 01208322"
"23463775"
"01201751"
"17947111"
"01204483"
"01200534"
"23659440"
"01200488"
"01225383"
"15477185, 00222429"
"08938512, 10986618"
"00014842, 15204898"
"08953309"
"00315826, 17446570"
"15452948, 00664197"
"00332909, 19391455"
"17238617"
"15495469, 10889051"
"25424351"
"18518753, 23624868"
"24690228"
"1082989X, 19391463"
"19355548, 01495992"
"00664227, 15453251"
"00832065"
"19414927, 19414935"
"19438206"
"15396053, 15291006"
"21686238, 2168622X"
"15372650, 08928649"
"01492195, 1545861X"
"01238418, 22157484"
"24443220"
"07195885"
"07194404, 0717036X"
"07169108, 07178832"
"14397382"
"19358245, 19358237"
"24709476"
"00832057"
"15454304, 03621642"
"10916490, 00278424"
"15278204, 1545293X"
"20469136, 20469128"
"15345807, 18781551"
"10780432, 15573265"
"17456916, 17456924"
"00920703, 15527824"
"02709139, 15273350"
"1532298X, 10404651"
"15280020, 00064971"
"01636804"
"-"
"00085472, 15387445"
"17590876, 17590884"
"17597323, 17597331"
"17577012, 17577004"
"15409295, 15409309"
"10942939, 15451577"
"19391307, 10768998"
"16742052, 17529867"
"15327965, 1047840X"
"01999885, 15454312"
"00103640, 10970312"
"17459125, 00111384"
"23335963, 23335955"
"21686831"
"10445323, 10963618"
"15589080"
"00273171, 15327906"
"23268298, 2326831X"
"15326985, 00461520"
"15200477, 00030007"
"-"
"0013189X"
"10478477, 10958657"
"10976825, 00916749"
"02706474, 15292401"
"15327663, 10577408"
"15537390, 15537404"
"21686262, 21686254"
"10806377, 00029327"
"13558382, 14699001"
"15495787"
"24519448, 24519456"
"10694730, 21689830"
"10949968, 15206653"
"01638998"
"-"
"09567976, 14679280"
"00913022, 10956808"
"15384365, 00670049"
"19413297, 19413289"
"14678721, 09637214"
"10946705, 15527379"
"10816011"
"21682216, 21682232"
"10957235, 00220531"
"1555905X, 15559041"
"08853185, 15318257"
"14614448, 14617315"
"17413044, 01708406"
"19485514, 19485506"
"2352345X"
"23304022"
"19487185"
"00338419, 15271315"
"00903493, 15300293"
"-"
"00283878, 1526632X"
"10983007, 15384772"
"07495978, 10959920"
"1948206X, 21575045"
"10969896, 00223417"
"21686173, 21686165"
"08941491, 10981136"
"15320979, 01475185"
"19417632, 19417640"
"19422466"
"21951071"
"00917613, 19432682"
"15414337"
"00144029"
"00314005, 10984275"
"08908044"
"21628564, 00081256"
"15506606, 00221767"
"15200469, 00224928"
"00187267, 1741282X"
"15489213, 15489221"
"15579077, 10507256"
"00220167"
"0022006X"
"10738584, 10894098"
"15253244, 00063568"
"10914269, 15206394"
"00078506, 17260604"
"07308884, 15528464"
"17412757, 14651165"
"07378017"
"18726623, 03043959"
"21581592, 07353766"
"15513203"
"21677034, 21677026"
"15359476, 15359484"
"10959068, 00941190"
"09545395"
"03600300, 15577341"
"15386341"
"00297844, 1873233X"
"00046256, 15383881"
"10991255, 08837252"
"01986325, 10981128"
"15417786, 15573125"
"10960449, 00950696"
"15384616, 00222879"
"15540588, 1554057X"
"2160200X"
"08239150"
"10959084, 00018791"
"00900036, 15410048"
"10659471, 10970193"
"15337928, 15324435"
"24739537"
"19337213"
"0271678X, 15597016"
"08959374, 15440737"
"03629805, 19399162"
"19311516, 15283542"
"02787407, 19449194"
"15205436"
"19395582, 10510761"
"23732822"
"21622531"
"00222623, 15204804"
"07410395, 10982272"
"15281175, 00033022"
"19410476, 1053587X"
"1525755X, 15257541"
"10959157, 08968411"
"1536867X"
"02768739, 15206688"
"23306696"
"21579024"
"1539297X, 00141704"
"15397718, 00335770"
"15392791, 15590089"
"15326500, 10582746"
"15326535, 00099236"
"21650497"
"19454589"
"23808942, 23808950"
"23528737"
"15585646, 00143820"
"1939005X, 19395094"
"00178055"
"10969861, 00219967"
"15374424, 15374416"
"10943501"
"00368326, 1098237X"
"15548937, 15548929"
"26053357, 24452394"
"15209210"
"14617005, 13623613"
"15300315, 01959131"
"1537260X"
"14730952"
"15230899"
"15392864, 0275004X"
"1098111X, 08848173"
"23327782"
"08959048"
"15580016, 15249050"
"15566013"
"14603659, 03063127"
"20589565"
"10836489"
"01618105, 15509109"
"10976787, 01909622"
"10505164"
"1086296X, 15548430"
"1095564X, 00121606"
"00401625"
"15271323, 02715333"
"02724944, 15229610"
"15209156, 15578593"
"02776715, 10970258"
"17499518, 17499526"
"15587991, 02780380"
"10452354, 10959955"
"19394616, 19394608"
"1527974X, 10675027"
"10976809, 07415214"
"20569017"
"10960260, 00917435"
"-"
"19373368, 19373376"
"00222828, 10958584"
"23251107, 23251131"
"07403194, 15222594"
"00491241, 15528294"
"15384764, 00224669"
"10780998, 15364844"
"21505594, 21505608"
"15499626, 15499618"
"09517375, 14736527"
"10800549, 15590267"
"15441717, 15441709"
"00039985"
"01622439, 15528251"
"00318205, 19331592"
"23327812"
"19449917, 08888809"
"-"
"1556603X"
"21508097"
"20573995"
"0898929X, 15308898"
"15384780, 00222194"
"10970088, 08998418"
"19307381"
"07415400, 19383673"
"00992399, 18783554"
"1553040X"
"14698749, 00121622"
"15524876, 15524868"
"10436618, 10961186"
"15264602, 15257797"
"10884165"
"00840173"
"23738227"
"21916594, 21916586"
"-"
"10963480, 15577554"
"14736578, 09517367"
"03630234, 1943278X"
"14722747, 14722739"
"15324400"
"-"
"1552387X, 00111287"
"14648849, 17413001"
"15204383, 15204391"
"15578070, 15311074"
"21566976"
"0018506X, 10956867"
"00223492, 19433670"
"24711403"
"15488756"
"10596011"
"15207552, 15207560"
"15524841, 1552485X"
"15327833, 10986065"
"-"
"2166532X"
"15527557, 10497323"
"25751077"
"23273801, 23273798"
"15333884, 07315090"
"15457214, 10647481"
"-"
"1533628X"
"10772626"
"10769986"
"10960953, 00139351"
"00048674, 14401614"
"10799389"
"14736535, 09579672"
"08950695"
"15316963, 10408711"
"10724109, 15334031"
"-"
"2194041X, 21940401"
"15244040, 0148396X"
"20501579, 20501587"
"10919856, 15265528"
"19327447, 19327455"
"08934983"
"19331681, 1933169X"
"00029149, 18791913"
"15532712, 10696563"
"21511535, 19391404"
"01956574"
"15327361, 00396060"
"15501558, 10548289"
"08937648, 15591182"
"15452263, 15452255"
"10957162, 08954798"
"10548408, 15407306"
"10711007"
"15281132, 0009921X"
"21638306"
"0743166X"
"23767839"
"10720502, 15495485"
"-"
"2168619X, 21686181"
"03639061, 10969853"
"0047259X, 10957243"
"14734230, 14734222"
"20901984, 20901992"
"01470272, 15356345"
"15733432, 01623257"
"10958568, 0022460X"
"23251026"
"1931857X"
"11330686, 18638260"
"10902090, 0092640X"
"19391374"
"14657309, 10673229"
"01475916, 15732819"
"20406231, 20406223"
"19382391, 1081597X"
"1531586X, 10834362"
"10958592, 10848045"
"08941777"
"15206505, 10601538"
"01960644, 10976760"
"10957138, 03630129"
"15547477, 1935469X"
"19328664, 19328575"
"00168033, 19422156"
"19420994, 19420900"
"2162268X, 21622671"
"15535606, 15535592"
"15206041, 02767333"
"14779552, 0021857X"
"00187208, 15478181"
"02673231, 14603705"
"00973165, 10960899"
"00371106, 19433573"
"07426046, 15206793"
"15206904, 00223263"
"00201669, 1520510X"
"00030082"
"00029343, 15557162"
"17103568"
"21522715, 21522723"
"1077260X, 15584542"
"02174561"
"20544650"
"15523357, 02750740"
"-"
"10518215"
"21682208, 21682194"
"25724754"
"00217670, 15658538"
"0091679X"
"15346277, 15272729"
"10961127, 00236438"
"08838534"
"00221465, 21506000"
"07431562"
"17436095, 17436109"
"03649024, 10970118"
"02765624"
"0739456X, 15526577"
"15307026, 1531135X"
"15364798, 02773740"
"10897798"
"2329423X, 23294248"
"19328737, 01609289"
